diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	H05.50	Retained (old) foreign body following penetrating wound of unspecified orbit	3766	H0550	10000
ICD10-CM	M48.46XS	Fatigue fracture of vertebra, lumbar region, sequela of fracture	9051	M4846XS	10000
ICD10-CM	H44.613	Retained (old) magnetic foreign body in anterior chamber, bilateral	36051	H44613	10000
ICD10-CM	T23.051A	Burn of unspecified degree of right palm, initial encounter	94405	T23051A	10000
ICD10-CM	H25.21	Age-related cataract, morgagnian type, right eye	36618	H2521	10000
ICD10-CM	Z79.51	Long term (current) use of inhaled steroids	V5865	Z7951	10000
ICD10-CM	Q66.80	Congenital vertical talus deformity, unspecified foot	75461	Q6680	10000
ICD10-CM	M92.52	Juvenile osteochondrosis of tibia and fibula, left leg	7324	M9252	10000
ICD10-CM	H25.011	Cortical age-related cataract, right eye	36615	H25011	10000
ICD10-CM	H11.15	Pinguecula	37251	H11159	10000
ICD10-CM	N35.012	Post-traumatic membranous urethral stricture	5981	N35012	10000
ICD10-CM	H15.012	Anterior scleritis, left eye	37903	H15012	10000
ICD10-CM	T43.205A	Adverse effect of unspecified antidepressants, initial encounter	E9390	T43205A	10112
ICD10-CM	S66.022A	Laceration of long flexor muscle, fascia and tendon of left thumb at wrist and hand level, initial encounter	8822	S66022A	10000
ICD10-CM	H40.1113	Primary open-angle glaucoma, right eye, severe stage	36573	H401113	10112
ICD10-CM	S42.252A	Displaced fracture of greater tuberosity of left humerus, initial encounter for closed fracture	81203	S42252A	10000
ICD10-CM	T50.903A	Poisoning by unspecified drugs, medicaments and biological substances, assault, initial encounter	9779	T50903A	10111
ICD10-CM	D37.039	Neoplasm of uncertain behavior of the major salivary glands, unspecified	2350	D37039	10000
ICD10-CM	O86.89	Other specified puerperal infections	67084	O8689	10000
ICD10-CM	R10.10	Upper abdominal pain, unspecified	78909	R1010	10000
ICD10-CM	E77.9	Disorder of glycoprotein metabolism, unspecified	2727	E779	10000
ICD10-CM	F17.213	Nicotine dependence, cigarettes, with withdrawal	2920	F17213	10000
ICD10-CM	M05.311	Rheumatoid heart disease with rheumatoid arthritis of right shoulder	7142	M05311	10000
ICD10-CM	F12.259	Cannabis dependence with psychotic disorder, unspecified	29289	F12259	10111
ICD10-CM	M05.522	Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow	3571	M05522	10112
ICD10-CM	S82.002G	Unspecified fracture of left patella, subsequent encounter for closed fracture with delayed healing	V5416	S82002G	10000
ICD10-CM	S62.102G	Fracture of unspecified carpal bone, left wrist, subsequent encounter for fracture with delayed healing	V5412	S62102G	10000
ICD10-CM	M60.831	Other myositis, right forearm	7291	M60831	10000
ICD10-CM	S62.009S	Unspecified fracture of navicular [scaphoid] bone of unspecified wrist, sequela	9052	S62009S	10000
ICD10-CM	M89.8X1	Other specified disorders of bone, shoulder	73399	M898X1	10000
ICD10-CM	R46.1	Bizarre personal appearance	79989	R461	10000
ICD10-CM	K64.4	Residual hemorrhoidal skin tags	4553	K644	10000
ICD10-CM	S72.391J	Other fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing	V5415	S72391J	10000
ICD10-CM	S90.222A	Contusion of left lesser toe(s) with damage to nail, initial encounter	9243	S90222A	10000
ICD10-CM	S93.629A	Sprain of tarsometatarsal ligament of unspecified foot, initial encounter	84511	S93629A	10000
ICD10-CM	N44.00	Torsion of testis, unspecified	60820	N4400	00000
ICD10-CM	I09.1	Rheumatic diseases of endocardium, valve unspecified	3979	I091	10000
ICD10-CM	T85.840A	Pain due to nervous system prosthetic devices, implants and grafts, initial encounter	99675	T85840A	10000
ICD10-CM	F98.4	Stereotyped movement disorders	3073	F984	00000
ICD10-CM	M05.179	Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot	71481	M05179	10000
ICD10-CM	V43.22XA	Person on outside of car injured in collision with other type car in nontraffic accident, initial encounter	E8228	V4322XA	10000
ICD10-CM	S72.111A	Displaced fracture of greater trochanter of right femur, initial encounter for closed fracture	82020	S72111A	10000
ICD10-CM	M89.8X5	Other specified disorders of bone, thigh	73399	M898X5	10000
ICD10-CM	Z13.89	Encounter for screening for other disorder	V824	Z1389	10000
ICD10-CM	S91.102D	Unspecified open wound of left great toe without damage to nail, subsequent encounter	V5889	S91102D	10000
ICD10-CM	L85.9	Epidermal thickening, unspecified	7019	L859	10000
ICD10-CM	B27.80	Other infectious mononucleosis without complication	075	B2780	10000
ICD10-CM	S72.409B	Unspecified fracture of lower end of unspecified femur, initial encounter for open fracture type I or II	82130	S72409B	10000
ICD10-CM	M90.50	Osteonecrosis in diseases classified elsewhere, unspecified site	73340	M9050	10112
ICD10-CM	T85.110A	Breakdown (mechanical) of implanted electronic neurostimulator of brain electrode (lead), initial encounter	9962	T85110A	10000
ICD10-CM	L12.0	Bullous pemphigoid	6945	L120	10000
ICD10-CM	M23.20	Derangement of unspecified meniscus due to old tear or injury	71740	M23200	10000
ICD10-CM	T18.5XXS	Foreign body in anus and rectum, sequela	9085	T185XXS	10000
ICD10-CM	S92.423G	Displaced fracture of distal phalanx of unspecified great toe, subsequent encounter for fracture with delayed healing	V5416	S92423G	10000
ICD10-CM	I70.792	Other atherosclerosis of other type of bypass graft(s) of the extremities, left leg	44030	I70792	10000
ICD10-CM	S82.131K	Displaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with nonunion	73382	S82131K	10000
ICD10-CM	C84.98	Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites	20288	C8498	10000
ICD10-CM	M85.85	Other specified disorders of bone density and structure, thigh	73399	M85859	10000
ICD10-CM	S62.009D	Unspecified fracture of navicular [scaphoid] bone of unspecified wrist, subsequent encounter for fracture with routine healing	V5412	S62009D	10000
ICD10-CM	B34.3	Parvovirus infection, unspecified	07983	B343	10000
ICD10-CM	M12.162	Kaschin-Beck disease, left knee	71606	M12162	10000
ICD10-CM	K42.9	Umbilical hernia without obstruction or gangrene	5531	K429	00000
ICD10-CM	S12.600B	Unspecified displaced fracture of seventh cervical vertebra, initial encounter for open fracture	80517	S12600B	10000
ICD10-CM	N35.011	Post-traumatic bulbous urethral stricture	5981	N35011	10000
ICD10-CM	R22.30	Localized swelling, mass and lump, unspecified upper limb	7822	R2230	10000
ICD10-CM	T49.3X1A	Poisoning by emollients, demulcents and protectants, accidental (unintentional), initial encounter	E8587	T493X1A	10112
ICD10-CM	I63.319	Cerebral infarction due to thrombosis of unspecified middle cerebral artery	43401	I63319	10000
ICD10-CM	S82.872E	Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with routine healing	V5416	S82872E	10000
ICD10-CM	S08.112A	Complete traumatic amputation of left ear, initial encounter	87201	S08112A	10000
ICD10-CM	S82.872A	Displaced pilon fracture of left tibia, initial encounter for closed fracture	8240	S82872A	10000
ICD10-CM	S46.819D	Strain of other muscles, fascia and tendons at shoulder and upper arm level, unspecified arm, subsequent encounter	V5889	S46819D	10000
ICD10-CM	S64.12XA	Injury of median nerve at wrist and hand level of left arm, initial encounter	9551	S6412XA	10000
ICD10-CM	E11.3593	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral	25050	E113593	10111
ICD10-CM	M54.07	Panniculitis affecting regions of neck and back, lumbosacral region	7248	M5407	10000
ICD10-CM	M85.071	Fibrous dysplasia (monostotic), right ankle and foot	73329	M85071	10000
ICD10-CM	S42.215K	Unspecified nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with nonunion	73382	S42215K	10000
ICD10-CM	C34.2	Malignant neoplasm of middle lobe, bronchus or lung	1624	C342	00000
ICD10-CM	E86.1	Hypovolemia	27652	E861	00000
ICD10-CM	S69.91XA	Unspecified injury of right wrist, hand and finger(s), initial encounter	9594	S6991XA	10000
ICD10-CM	H40.2234	Chronic angle-closure glaucoma, bilateral, indeterminate stage	36523	H402234	10111
ICD10-CM	M76.891	Other specified enthesopathies of right lower limb, excluding foot	7268	M76891	10000
ICD10-CM	S63.636D	Sprain of interphalangeal joint of right little finger, subsequent encounter	V5889	S63636D	10000
ICD10-CM	S22.42XA	Multiple fractures of ribs, left side, initial encounter for closed fracture	80708	S2242XA	10000
ICD10-CM	S63.599A	Other specified sprain of unspecified wrist, initial encounter	84209	S63599A	10000
ICD10-CM	Z77.010	Contact with and (suspected) exposure to arsenic	V8701	Z77010	00000
ICD10-CM	L97.819	Non-pressure chronic ulcer of other part of right lower leg with unspecified severity	70719	L97819	10000
ICD10-CM	H21.551	Recession of chamber angle, right eye	36477	H21551	10000
ICD10-CM	K81.0	Acute cholecystitis	5750	K810	00000
ICD10-CM	S56.222A	Laceration of other flexor muscle, fascia and tendon at forearm level, left arm, initial encounter	88120	S56222A	10000
ICD10-CM	M70.912	Unspecified soft tissue disorder related to use, overuse and pressure, left shoulder	72990	M70912	10000
ICD10-CM	M23.91	Unspecified internal derangement of right knee	7179	M2391	10000
ICD10-CM	G57.81	Other specified mononeuropathies of right lower limb	35579	G5781	10000
ICD10-CM	Q11.3	Macrophthalmos	7438	Q113	10000
ICD10-CM	W53.11XS	Bitten by rat, sequela	E9295	W5311XS	10000
ICD10-CM	K38.1	Appendicular concretions	5439	K381	10000
ICD10_CA	I87.2	Venous insufficiency (chronic)(peripheral)	45981	I872	10000
ICD10-CM	E13.51	Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene	44381	E1351	10112
ICD10-CM	Y75.2	Prosthetic and other implants, materials and neurological devices associated with adverse incidents	NoDx	Y752	11000
ICD10-CM	T84.069A	Wear of articular bearing surface of unspecified internal prosthetic joint, initial encounter	99646	T84069A	10000
ICD10-CM	S59.802D	Other specified injuries of left elbow, subsequent encounter	V5889	S59802D	10000
ICD10-CM	T36.0X5A	Adverse effect of penicillins, initial encounter	99529	T360X5A	10111
ICD10-CM	S05.21XA	Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, initial encounter	8712	S0521XA	10000
ICD10-CM	L89.143	Pressure ulcer of left lower back, stage 3	70703	L89143	10111
ICD10-CM	T44.0X5A	Adverse effect of anticholinesterase agents, initial encounter	99529	T440X5A	10111
ICD10-CM	S52.599P	Other fractures of lower end of unspecified radius, subsequent encounter for closed fracture with malunion	73381	S52599P	10000
ICD10-CM	S61.331D	Puncture wound without foreign body of left index finger with damage to nail, subsequent encounter	V5889	S61331D	10000
ICD10-CM	S21.012A	Laceration without foreign body of left breast, initial encounter	8790	S21012A	10000
ICD10-CM	M72.1	Knuckle pads	72879	M721	10000
ICD10-CM	M25.473	Effusion, unspecified ankle	71907	M25473	10000
ICD10-CM	E50.5	Vitamin A deficiency with night blindness	2645	E505	00000
ICD10-CM	M75.12	Complete rotator cuff tear or rupture not specified as traumatic	72761	M75120	10000
ICD10-CM	H16.212	Exposure keratoconjunctivitis, left eye	37034	H16212	10000
ICD10-CM	K66.1	Hemoperitoneum	56881	K661	00000
ICD10-CM	M48.54XS	Collapsed vertebra, not elsewhere classified, thoracic region, sequela of fracture	9051	M4854XS	10000
